134,33250,-1206,3084,-1935,21374,-26728,6217,-1206,3084,-1935,0,0
135,33500,-1494,3129,-1764,22834,-25976,3962,-1494,3129,-1764,0,0
136,33750,-1772,3154,-1582,24154,-25065,1683,-1772,3154,-1582,0,0
137,34000,-2040,3160,-1391,25325,-23999,-607,-2040,3160,-1391,0,0
138,34250,-2295,3147,-1191,26339,-22785,-2894,-2295,3147,-1191,0,0
139,34500,-2536,3114,-984,27191,-21430,-5162,-2536,3114,-984,0,0
140,34750,-2762,3062,-770,27876,-19944,-7398,-2762,3062,-770,0,0
141,35000,-2970,2991,-552,28389,-18334,-9589,-2970,2991,-552,0,0
142,35250,-3160,2901,-330,28726,-16612,-11721,-3160,2901,-330,0,0
143,35500,-3330,2794,-106,28887,-14787,-13780,-3330,2794,-106,0,0
144,35750,-3480,2670,118,28869,-12870,-15755,-3480,2670,118,0,0
145,36000,-3609,2529,342,28674,-10875,-17632,-3609,2529,342,0,0
146,36250,-3715,2372,563,28301,-8812,-19401,-3715,2372,563,0,0
147,36500,-3799,2201,781,27754,-6695,-21050,-3799,2201,781,0,0
148,36750,-3859,2016,994,27037,-4537,-22569,-3859,2016,994,0,0
149,37000,-3895,1819,1201,26152,-2351,-23950,-3895,1819,1201,0,0
150,37250,-3907,1611,1401,25106,-150,-25182,-3907,1611,1401,0,0
151,37500,-3895,1392,1592,23906,2051,-26259,-3895,1392,1592,0,0
152,37750,-3859,1166,1773,22557,4240,-27175,-3859,1166,1773,0,0
153,38000,-3799,932,1944,21070,6403,-27922,-3799,932,1944,0,0
154,38250,-3716,692,2102,19453,8526,-28498,-3716,692,2102,0,0
155,38500,-3610,447,2247,17716,10597,-28898,-3610,447,2247,0,0
156,38750,-3482,200,2379,15870,12602,-29120,-3482,200,2379,0,0
157,39000,-3332,-48,2495,13927,14530,-29162,-3332,-48,2495,0,0
158,39250,-3162,-296,2597,11896,16368,-29024,-3162,-296,2597,0,0
159,39500,-2972,-541,2682,9793,18105,-28708,-2972,-541,2682,0,0
160,39750,-2764,-784,2751,7630,19731,-28214,-2764,-784,2751,0,0
161,40000,-2538,-1022,2803,5419,21235,-27547,-2538,-1022,2803,0,0
162,40250,-2297,-1253,2838,3175,22608,-26710,-2297,-1253,2838,0,0
163,40500,-2043,-1477,2855,911,23842,-25708,-2043,-1477,2855,0,0
164,40750,-1775,-1692,2855,-1358,24929,-24548,-1775,-1692,2855,0,0
165,41000,-1497,-1896,2837,-3619,25861,-23236,-1497,-1896,2837,0,0
166,41250,-1209,-2089,2801,-5857,26635,-21781,-1209,-2089,2801,0,0
167,41500,-914,-2268,2748,-8060,27244,-20191,-914,-2268,2748,0,0
168,41750,-613,-2434,2679,-10213,27686,-18477,-613,-2434,2679,0,0
169,42000,-308,-2585,2592,-12302,27956,-16650,-308,-2585,2592,0,0
170,42250,-2,-2719,2490,-14316,28055,-14719,-2,-2719,2490,0,0
171,42500,305,-2837,2373,-16242,27980,-12698,305,-2837,2373,0,0
172,42750,609,-2938,2240,-18068,27733,-10599,609,-2938,2240,0,0
173,43000,910,-3020,2094,-19782,27315,-8434,910,-3020,2094,0,0
174,43250,1205,-3084,1935,-21374,26728,-6217,1205,-3084,1935,0,0
