72,17000,528,2742,147,-22258,-6231,28011,-14,-161,0,-21019,-8029,28927
73,17250,296,3010,120,-20615,-8514,28718,-2,-174,0,-19275,-10271,29414
74,17500,57,3274,92,-18845,-10746,29249,10,-187,0,-17412,-12450,29720
75,17750,-186,3532,64,-16958,-12911,29600,22,-200,0,-15441,-14552,29843
76,18000,-433,3782,36,-14967,-14996,29768,34,-212,0,-13376,-16564,29782
77,18250,-681,4023,7,-12883,-16989,29752,46,-223,0,-11228,-18475,29537
78,18500,-930,4252,-21,-10720,-18877,29553,59,-234,0,-9010,-20271,29110
79,18750,-1177,4468,-50,-8491,-20649,29172,71,-244,0,-6738,-21942,28504
80,19000,-1421,4671,-78,-6210,-22293,28611,82,-253,0,-4423,-23478,27722
81,19250,-1661,4857,-106,-3890,-23800,27873,94,-261,0,-2082,-24870,26769
82,19500,-1895,5026,-133,-1546,-25161,26964,105,-269,0,273,-26108,25651
83,19750,-2121,5176,-159,807,-26366,25888,116,-275,0,2626,-27185,24375
84,20000,-2121,5176,-159,807,-26366,25888,116,-275,0,2626,-27185,24375
85,20000,-2339,5307,-184,3156,-27408,24653,126,-280,0,4962,-28095,22949
86,20000,-2339,5307,-184,3156,-27408,24653,126,-280,0,4962,-28095,22949
87,20250,-2595,5359,-18,5518,-28249,22853,138,-281,-16,7240,-28860,21605
88,20500,-2847,5380,188,7810,-28951,20969,150,-281,-21,9509,-29411,19704
89,20750,-3090,5375,413,10033,-29496,19195,160,-279,-30,11712,-29787,17919
90,21000,-3320,5346,645,12210,-29843,17421,171,-276,-40,13837,-29987,16028
91,21250,-3538,5290,884,14332,-29986,15533,181,-271,-52,15878,-30000,14016
92,21500,-3741,5208,1131,16368,-29942,13512,189,-265,-63,17824,-29825,11906
93,21750,-3930,5099,1387,18295,-29721,11386,198,-258,-75,19661,-29466,9720
94,22000,-4102,4966,1649,20103,-29323,9186,205,-250,-87,21376,-28926,7474
95,22250,-4257,4807,1915,21785,-28746,6934,211,-240,-99,22958,-28208,5183
96,22500,-4393,4626,2183,23335,-27990,4643,217,-229,-111,24399,-27316,2861
97,22750,-4508,4422,2451,24744,-27059,2324,221,-217,-123,25689,-26256,522
98,23000,-4604,4196,2718,26000,-25960,-8,225,-204,-134,26822,-25034,-1821
99,23250,-4678,3949,2981,27096,-24702,-2341,227,-190,-146,27789,-23657,-4153
100,23500,-4731,3684,3239,28025,-23292,-4660,228,-175,-157,28584,-22135,-6459
101,23750,-4762,3402,3489,28781,-21739,-6950,228,-160,-168,29204,-20476,-8726
102,24000,-4770,3104,3730,29359,-20051,-9197,228,-143,-178,29643,-18691,-10939
103,24250,-4756,2792,3961,29756,-18240,-11388,226,-126,-188,29900,-16790,-13084
104,24500,-4719,2468,4180,29971,-16316,-13508,223,-109,-197,29972,-14787,-15149
105,24750,-4660,2134,4385,30000,-14291,-15544,219,-91,-205,29860,-12692,-17120
106,25000,-4579,1792,4574,29845,-12178,-17485,214,-73,-213,29563,-10519,-18986
107,25250,-4476,1443,4747,29505,-9990,-19318,208,-54,-219,29084,-8281,-20735
108,25500,-4352,1090,4902,28984,-7741,-21032,200,-36,-225,28426,-5992,-22356
109,25750,-4208,735,5038,28284,-5443,-22617,192,-17,-230,27593,-3666,-23839
110,26000,-4044,380,5154,27410,-3113,-24061,184,1,-234,26589,-1317,-25175
111,26250,-3862,27,5249,26367,-762,-25358,174,20,-238,25422,1039,-26356
112,26500,-3662,-321,5322,25161,1592,-26498,163,37,-240,24097,3389,-27374
113,26750,-3445,-663,5373,23800,3938,-27474,152,55,-241,22625,5719,-28224
114,27000,-3214,-997,5401,22293,6258,-28281,140,72,-241,21013,8013,-28900
115,27250,-2968,-1321,5406,20648,8541,-28914,128,88,-240,19271,10257,-29398
