355,88500,3576,6264,-28502,0,20699,8463,-29157,0,20699,0
356,88750,3311,8546,-29139,0,18931,10695,-29621,0,18931,0
357,89000,3027,10776,-29596,0,17046,12861,-29903,0,17046,0
358,89250,2724,12939,-29870,0,15055,14947,-30000,0,15055,0
359,89500,2404,15022,-29960,0,12972,16942,-29912,0,12972,0
360,89750,2069,17012,-29865,0,10809,18832,-29640,0,10809,0
361,90000,1721,18898,-29587,0,8579,20606,-29185,0,8579,0
362,90250,1363,20667,-29125,0,6297,22253,-28550,0,6297,0
363,90500,997,22309,-28485,0,3975,23762,-27739,0,3975,0
364,90750,624,23813,-27668,0,1629,25125,-26757,0,1629,0
365,91000,247,25171,-26681,0,-727,26334,-25610,0,-727,0
366,91250,-131,26373,-25530,0,-3078,27380,-24305,0,-3078,0
367,91500,-508,27412,-24221,0,-5411,28257,-22850,0,-5411,0
368,91750,-882,28283,-22763,0,-7710,28960,-21255,0,-7710,0
369,92000,-1251,28979,-21165,0,-9962,29484,-19528,0,-9962,0
370,92250,-1612,29497,-19436,0,-12152,29826,-17681,0,-12152,0
371,92500,-1963,29832,-17587,0,-14267,29985,-15725,0,-14267,0
372,92750,-2302,29984,-15629,0,-16295,29959,-13672,0,-16295,0
373,93000,-2627,29951,-13576,0,-18221,29748,-11535,0,-18221,0
374,93250,-2935,29733,-11439,0,-20036,29354,-9327,0,-20036,0
375,93500,-3226,29332,-9231,0,-21727,28778,-7061,0,-21727,0
376,93750,-3496,28750,-6966,0,-23284,28026,-4751,0,-23284,0
377,94000,-3745,27991,-4658,0,-24698,27100,-2412,0,-24698,0
378,94250,-3971,27060,-2322,0,-25959,26008,-59,0,-25959,0
379,94500,-4173,25961,29,0,-27060,24755,2295,0,-27060,0
380,94750,-4348,24702,2379,0,-27994,23349,4635,0,-27994,0
381,95000,-4497,23291,4715,0,-28756,21800,6946,0,-28756,0
382,95250,-4619,21737,7022,0,-29341,20116,9215,0,-29341,0
383,95500,-4711,20048,9286,0,-29744,18308,11426,0,-29744,0
