       167,     41500,  1019, 15449,-16460,  8788,-18345,  9554,0
       168,     41750,  -437, 16259,-15813, 10061,-18394,  8330,0
       169,     42000, -1902, 16973,-15062, 11282,-18330,  7045,0
       170,     42250, -3365, 17586,-14211, 12442,-18150,  5706,0
       171,     42500, -4819, 18093,-13264, 13534,-17856,  4321,0
       172,     42750, -6253, 18492,-12228, 14549,-17449,  2899,0
       173,     43000, -7659, 18777,-11107, 15482,-16930,  1448,0
       174,     43250, -9028, 18947, -9909, 16325,-16302,   -23,0
       175,     43500,-10350, 19000, -8640, 17073,-15567, -1505,0
       176,     43750,-11617, 18935, -7308, 17719,-14731, -2988,0
       177,     44000,-12821, 18751, -5920, 18260,-13796, -4463,0
       178,     44250,-13954, 18449, -4485, 18692,-12769, -5920,0
       179,     44500,-15007, 18029, -3012, 19010,-11656, -7351,0
       180,     44750,-15975, 17493, -1510, 19211,-10462, -8747,0
       181,     45000,-16849, 16845,    13, 19295, -9194,-10098,0
       182,     45250,-17625, 16087,  1547, 19259, -7861,-11395,0
       183,     45500,-18297, 15223,  3081, 19103, -6469,-12630,0
       184,     45750,-18859, 14259,  4607, 18827, -5028,-13795,0
       185,     46000,-19308, 13199,  6115, 18432, -3546,-14881,0
       186,     46250,-19639, 12049,  7596, 17919, -2032,-15883,0
       187,     46500,-19851, 10816,  9039, 17292,  -495,-16792,0
       188,     46750,-19941,  9508, 10436, 16552,  1055,-17602,0
       189,     47000,-19907,  8132, 11778, 15705,  2609,-18309,0
       190,     47250,-19749,  6696, 13055, 14755,  4156,-18905,0
       191,     47500,-19468,  5209, 14260, 13707,  5687,-19388,0
       192,     47750,-19064,  3679, 15384, 12566,  7193,-19754,0
       193,     48000,-18538,  2117, 16420, 11341,  8663,-19998,0
       194,     48250,-17895,   532, 17361, 10036, 10089,-20120,0
       195,     48500,-17136, -1067, 18200,  8662, 11460,-20117,0
       196,     48750,-16266, -2670, 18932,  7225, 12769,-19989,0
       197,     49000,-15290, -4266, 19551,  5734, 14007,-19736,0
       198,     49250,-14213, -5846, 20053,  4198, 15164,-19358,0
       199,     49500,-13041, -7399, 20433,  2627, 16235,-18858,0
       200,     49750,-11781, -8916, 20690,  1030, 17211,-18237,0
       201,     50000,-10441,-10387, 20819,  -583, 18085,-17499,0
       202,     50250, -9028,-11802, 20821, -2201, 18852,-16648,0
       203,     50500, -7551,-13153, 20694, -3816, 19506,-15688,0
       204,     50750, -6019,-14430, 20438, -5416, 20043,-14625,0
       205,     51000, -4440,-15626, 20054, -6992, 20458,-13465,0
       206,     51250, -2825,-16731, 19544, -8534, 20749,-12214,0
       207,     51500, -1183,-17740, 18910,-10031, 20912,-10880,0
       208,     51750,   475,-18644, 18155,-11474, 20946, -9471,0
       209,     52000,  2140,-19438, 17285,-12855, 20850, -7995,0
       210,     52250,  3800,-20116, 16302,-14163, 20623, -6461,0
       211,     52500,  5446,-20674, 15213,-15390, 20267, -4879,0
       212,     52750,  7067,-21107, 14025,-16529, 19783, -3257,0
       213,     53000,  8653,-21411, 12744,-17571, 19174, -1606,0
       214,     53250, 10194,-21585, 11377,-18509, 18442,    64,0
       215,     53500, 11679,-21626,  9932,-19338, 17592,  1742,0
       216,     53750, 13100,-21534,  8419,-20051, 16627,  3419,0
       217,     54000, 14448,-21308,  6846,-20643, 15554,  5083,0
       218,     54250, 15712,-20949,  5223,-21110, 14379,  6725,0
       219,     54500, 16886,-20459,  3559,-21449, 13109,  8334,0
       220,     54750, 17961,-19840,  1866,-21656, 11750,  9899,0
       221,     55000, 18931,-19096,   152,-21730, 10311, 11411,0
       222,     55250, 19787,-18229, -1570,-21669,  8801, 12860,0
       223,     55500, 20526,-17246, -3292,-21473,  7229, 14237,0
       224,     55750, 21141,-16151, -5001,-21144,  5603, 15532,0
       225,     56000, 21628,-14951, -6687,-20681,  3935, 16737,0
       226,     56250, 21983,-13654, -8339,-20088,  2234, 17845,0
       227,     56500, 22204,-12265, -9948,-19367,   510, 18847,0
       228,     56750, 22289,-10795,-11502,-18522, -1225, 19738,0
       229,     57000, 22236, -9250,-12992,-17559, -2961, 20510,0
       230,     57250, 22045, -7642,-14408,-16482, -4687, 21159,0
       231,     57500, 21716, -5979,-15741,-15297, -6392, 21680,0
       232,     57750, 21252, -4272,-16983,-14012, -8066, 22069,0
       233,     58000, 20654, -2531,-18125,-12635, -9697, 22323,0
       234,     58250, 19925,  -766,-19160,-11172,-11277, 22439,0
       235,     58500, 19070,  1011,-20080, -9633,-12793, 22418,0
       236,     58750, 18092,  2789,-20880, -8028,-14238, 22257,0
       237,     59000, 16999,  4558,-21554, -6365,-15601, 21957,0
       238,     59250, 15795,  6306,-22098, -4655,-16873, 21520,0
       239,     59500, 14488,  8022,-22506, -2909,-18047, 20948,0
       240,     59750, 13086,  9696,-22777, -1137,-19114, 20243,0
       241,     60000, 11597, 11317,-22908,   650,-20067, 19410,0
       242,     60250, 10030, 12874,-22897,  2441,-20900, 18453,0
       243,     60500,  8393, 14359,-22744,  4224,-21608, 17378,0
       244,     60750,  6699, 15760,-22449,  5989,-22185, 16190,0
       245,     61000,  4955, 17069,-22014,  7724,-22626, 14897,0
       246,     61250,  3174, 18278,-21441,  9419,-22930, 13506,0
       247,     61500,  1365, 19378,-20732, 11063,-23092, 12025,0
       248,     61750,  -459, 20362,-19892, 12646,-23113, 10464,0
       249,     62000, -2288, 21225,-18925, 14156,-22990,  8831,0
       250,     62250, -4110, 21959,-17837, 15585,-22725,  7138,0
       251,     62500, -5913, 22560,-16634, 16923,-22317,  5392,0
       252,     62750, -7688, 23023,-15322, 18162,-21770,  3607,0
       253,     63000, -9422, 23346,-13911, 19294,-21086,  1792,0
       254,     63250,-11104, 23525,-12408, 20310,-20268,   -42,0
